# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
akesi-meso 󱤁󱦕󱦂
akesi-oko 󱤁󱦕󱥺
akesi-su 󱤁󱦕󱦦
akesi-a 󱤁󱦖󱤀
akesi-akesi 󱤁󱦖󱤁
akesi-ala 󱤁󱦖󱤂
akesi-alasa 󱤁󱦖󱤃
akesi-ale 󱤁󱦖󱤄
akesi-anpa 󱤁󱦖󱤅
akesi-ante 󱤁󱦖󱤆
akesi-anu 󱤁󱦖󱤇
akesi-awen 󱤁󱦖󱤈
akesi-e 󱤁󱦖󱤉
akesi-en 󱤁󱦖󱤊
akesi-esun 󱤁󱦖󱤋
akesi-ijo 󱤁󱦖󱤌
akesi-ike 󱤁󱦖󱤍
akesi-ilo 󱤁󱦖󱤎
akesi-insa 󱤁󱦖󱤏
akesi-jaki 󱤁󱦖󱤐
akesi-jan 󱤁󱦖󱤑
akesi-jelo 󱤁󱦖󱤒
akesi-jo 󱤁󱦖󱤓
akesi-kala 󱤁󱦖󱤔
akesi-kalama 󱤁󱦖󱤕
akesi-kama 󱤁󱦖󱤖
akesi-kasi 󱤁󱦖󱤗
akesi-ken 󱤁󱦖󱤘
akesi-kepeken 󱤁󱦖󱤙
akesi-kili 󱤁󱦖󱤚
akesi-kin 󱤁󱦖󱥹
akesi-kiwen 󱤁󱦖󱤛
akesi-ko 󱤁󱦖󱤜
akesi-kon 󱤁󱦖󱤝
akesi-kule 󱤁󱦖󱤞
akesi-kulupu 󱤁󱦖󱤟
akesi-kute 󱤁󱦖󱤠
akesi-la 󱤁󱦖󱤡
akesi-lape 󱤁󱦖󱤢
akesi-laso 󱤁󱦖󱤣
akesi-lawa 󱤁󱦖󱤤
akesi-len 󱤁󱦖󱤥
akesi-lete 󱤁󱦖󱤦
akesi-li 󱤁󱦖󱤧
akesi-lili 󱤁󱦖󱤨
akesi-linja 󱤁󱦖󱤩
akesi-lipu 󱤁󱦖󱤪
akesi-loje 󱤁󱦖󱤫
akesi-lon 󱤁󱦖󱤬
akesi-luka 󱤁󱦖󱤭
akesi-lukin 󱤁󱦖󱤮
akesi-lupa 󱤁󱦖󱤯
akesi-ma 󱤁󱦖󱤰
akesi-mama 󱤁󱦖󱤱
akesi-mani 󱤁󱦖󱤲
akesi-meli 󱤁󱦖󱤳
akesi-mi 󱤁󱦖󱤴
akesi-mije 󱤁󱦖󱤵
akesi-moku 󱤁󱦖󱤶
akesi-moli 󱤁󱦖󱤷
akesi-monsi 󱤁󱦖󱤸
akesi-monsuta 󱤁󱦖󱥽
akesi-mu 󱤁󱦖󱤹
akesi-mun 󱤁󱦖󱤺
akesi-musi 󱤁󱦖󱤻
akesi-mute 󱤁󱦖󱤼
akesi-nanpa 󱤁󱦖󱤽
akesi-nasa 󱤁󱦖󱤾
akesi-nasin 󱤁󱦖󱤿
akesi-nena 󱤁󱦖󱥀
akesi-ni 󱤁󱦖󱥁
akesi-nimi 󱤁󱦖󱥂
akesi-noka 󱤁󱦖󱥃
akesi-o 󱤁󱦖󱥄
akesi-olin 󱤁󱦖󱥅
akesi-ona 󱤁󱦖󱥆
akesi-open 󱤁󱦖󱥇
akesi-pakala 󱤁󱦖󱥈
akesi-pali 󱤁󱦖󱥉
akesi-palisa 󱤁󱦖󱥊
akesi-pan 󱤁󱦖󱥋
akesi-pana 󱤁󱦖󱥌
akesi-pi 󱤁󱦖󱥍
akesi-pilin 󱤁󱦖󱥎
akesi-pimeja 󱤁󱦖󱥏
akesi-pini 󱤁󱦖󱥐
akesi-pipi 󱤁󱦖󱥑
akesi-poka 󱤁󱦖󱥒
akesi-poki 󱤁󱦖󱥓
akesi-pona 󱤁󱦖󱥔
akesi-pu 󱤁󱦖󱥕
akesi-sama 󱤁󱦖󱥖
akesi-seli 󱤁󱦖󱥗
akesi-selo 󱤁󱦖󱥘
akesi-seme 󱤁󱦖󱥙
akesi-sewi 󱤁󱦖󱥚
akesi-sijelo 󱤁󱦖󱥛
akesi-sike 󱤁󱦖󱥜
akesi-sin 󱤁󱦖󱥝
akesi-sina 󱤁󱦖󱥞
akesi-sinpin 󱤁󱦖󱥟
akesi-sitelen 󱤁󱦖󱥠
akesi-sona 󱤁󱦖󱥡
akesi-soweli 󱤁󱦖󱥢
akesi-suli 󱤁󱦖󱥣
akesi-suno 󱤁󱦖󱥤
akesi-supa 󱤁󱦖󱥥
akesi-suwi 󱤁󱦖󱥦
akesi-tan 󱤁󱦖󱥧
akesi-taso 󱤁󱦖󱥨
akesi-tawa 󱤁󱦖󱥩
akesi-telo 󱤁󱦖󱥪
akesi-tenpo 󱤁󱦖󱥫
akesi-toki 󱤁󱦖󱥬
akesi-tomo 󱤁󱦖󱥭
akesi-tonsi 󱤁󱦖󱥾
akesi-tu 󱤁󱦖󱥮
akesi-unpa 󱤁󱦖󱥯
akesi-uta 󱤁󱦖󱥰
akesi-utala 󱤁󱦖󱥱
akesi-walo 󱤁󱦖󱥲
akesi-wan 󱤁󱦖󱥳
akesi-waso 󱤁󱦖󱥴
akesi-wawa 󱤁󱦖󱥵
akesi-weka 󱤁󱦖󱥶
akesi-wile 󱤁󱦖󱥷
akesi-kijetesantakalu 󱤁󱦖󱦀
akesi-kipisi 󱤁󱦖󱥻
akesi-ku 󱤁󱦖󱦈
akesi-leko 󱤁󱦖󱥼
akesi-misikeke 󱤁󱦖󱦇
akesi-n 󱤁󱦖󱦆
akesi-namako 󱤁󱦖󱥸
akesi-soko 󱤁󱦖󱦁
akesi-epiku 󱤁󱦖󱦃
akesi-jasima 󱤁󱦖󱥿
akesi-lanpan 󱤁󱦖󱦅
akesi-linluwi 󱤁󱦖󱦤
akesi-majuna 󱤁󱦖󱦢
akesi-meso 󱤁󱦖󱦂
akesi-oko 󱤁󱦖󱥺
akesi-su 󱤁󱦖󱦦
ala 󱤂
ala-a 󱤂‍󱤀
ala-akesi 󱤂‍󱤁
ala-ala 󱤂‍󱤂
ala-alasa 󱤂‍󱤃
ala-ale 󱤂‍󱤄
ala-anpa 󱤂‍󱤅
ala-ante 󱤂‍󱤆
ala-anu 󱤂‍󱤇
ala-awen 󱤂‍󱤈
ala-e 󱤂‍󱤉
ala-en 󱤂‍󱤊
ala-esun 󱤂‍󱤋
ala-ijo 󱤂‍󱤌
ala-ike 󱤂‍󱤍
ala-ilo 󱤂‍󱤎
ala-insa 󱤂‍󱤏
ala-jaki 󱤂‍󱤐
ala-jan 󱤂‍󱤑
ala-jelo 󱤂‍󱤒
ala-jo 󱤂‍󱤓
ala-kala 󱤂‍󱤔
ala-kalama 󱤂‍󱤕
ala-kama 󱤂‍󱤖
ala-kasi 󱤂‍󱤗
ala-ken 󱤂‍󱤘
ala-kepeken 󱤂‍󱤙
ala-kili 󱤂‍󱤚
ala-kin 󱤂‍󱥹
ala-kiwen 󱤂‍󱤛
ala-ko 󱤂‍󱤜
ala-kon 󱤂‍󱤝
ala-kule 󱤂‍󱤞
ala-kulupu 󱤂‍󱤟
ala-kute 󱤂‍󱤠
ala-la 󱤂‍󱤡
ala-lape 󱤂‍󱤢
ala-laso 󱤂‍󱤣
ala-lawa 󱤂‍󱤤
ala-len 󱤂‍󱤥
ala-lete 󱤂‍󱤦
ala-li 󱤂‍󱤧
ala-lili 󱤂‍󱤨
ala-linja 󱤂‍󱤩
ala-lipu 󱤂‍󱤪
ala-loje 󱤂‍󱤫
ala-lon 󱤂‍󱤬
ala-luka 󱤂‍󱤭
ala-lukin 󱤂‍󱤮
ala-lupa 󱤂‍󱤯
ala-ma 󱤂‍󱤰
ala-mama 󱤂‍󱤱
ala-mani 󱤂‍󱤲
ala-meli 󱤂‍󱤳
ala-mi 󱤂‍󱤴
ala-mije 󱤂‍󱤵
ala-moku 󱤂‍󱤶
ala-moli 󱤂‍󱤷
ala-monsi 󱤂‍󱤸
ala-monsuta 󱤂‍󱥽
ala-mu 󱤂‍󱤹
ala-mun 󱤂‍󱤺
ala-musi 󱤂‍󱤻
ala-mute 󱤂‍󱤼
ala-nanpa 󱤂‍󱤽
ala-nasa 󱤂‍󱤾
ala-nasin 󱤂‍󱤿
ala-nena 󱤂‍󱥀
ala-ni 󱤂‍󱥁
ala-nimi 󱤂‍󱥂
ala-noka 󱤂‍󱥃
ala-o 󱤂‍󱥄
ala-olin 󱤂‍󱥅
ala-ona 󱤂‍󱥆
ala-open 󱤂‍󱥇
ala-pakala 󱤂‍󱥈
ala-pali 󱤂‍󱥉
ala-palisa 󱤂‍󱥊
ala-pan 󱤂‍󱥋
ala-pana 󱤂‍󱥌
ala-pi 󱤂‍󱥍
ala-pilin 󱤂‍󱥎
ala-pimeja 󱤂‍󱥏
ala-pini 󱤂‍󱥐
ala-pipi 󱤂‍󱥑
ala-poka 󱤂‍󱥒
ala-poki 󱤂‍󱥓
ala-pona 󱤂‍󱥔
ala-pu 󱤂‍󱥕
ala-sama 󱤂‍󱥖
ala-seli 󱤂‍󱥗
ala-selo 󱤂‍󱥘
ala-seme 󱤂‍󱥙
ala-sewi 󱤂‍󱥚
ala-sijelo 󱤂‍󱥛
ala-sike 󱤂‍󱥜
ala-sin 󱤂‍󱥝
ala-sina 󱤂‍󱥞
ala-sinpin 󱤂‍󱥟
ala-sitelen 󱤂‍󱥠
ala-sona 󱤂‍󱥡
ala-soweli 󱤂‍󱥢
ala-suli 󱤂‍󱥣
ala-suno 󱤂‍󱥤
ala-supa 󱤂‍󱥥
ala-suwi 󱤂‍󱥦
ala-tan 󱤂‍󱥧
ala-taso 󱤂‍󱥨
ala-tawa 󱤂‍󱥩
ala-telo 󱤂‍󱥪
ala-tenpo 󱤂‍󱥫
ala-toki 󱤂‍󱥬
ala-tomo 󱤂‍󱥭
ala-tonsi 󱤂‍󱥾
ala-tu 󱤂‍󱥮
ala-unpa 󱤂‍󱥯
ala-uta 󱤂‍󱥰
ala-utala 󱤂‍󱥱
ala-walo 󱤂‍󱥲
ala-wan 󱤂‍󱥳
ala-waso 󱤂‍󱥴
ala-wawa 󱤂‍󱥵
ala-weka 󱤂‍󱥶
ala-wile 󱤂‍󱥷
ala-kijetesantakalu 󱤂‍󱦀
ala-kipisi 󱤂‍󱥻
ala-ku 󱤂‍󱦈
ala-leko 󱤂‍󱥼
ala-misikeke 󱤂‍󱦇
ala-n 󱤂‍󱦆
ala-namako 󱤂‍󱥸
ala-soko 󱤂‍󱦁
ala-epiku 󱤂‍󱦃
ala-jasima 󱤂‍󱥿
ala-lanpan 󱤂‍󱦅
ala-linluwi 󱤂‍󱦤
ala-majuna 󱤂‍󱦢
ala-meso 󱤂‍󱦂
ala-oko 󱤂‍󱥺
ala-su 󱤂‍󱦦
ala-a 󱤂󱦕󱤀
ala-akesi 󱤂󱦕󱤁
ala-ala 󱤂󱦕󱤂
ala-alasa 󱤂󱦕󱤃
ala-ale 󱤂󱦕󱤄
ala-anpa 󱤂󱦕󱤅
ala-ante 󱤂󱦕󱤆
ala-anu 󱤂󱦕󱤇
ala-awen 󱤂󱦕󱤈
ala-e 󱤂󱦕󱤉
ala-en 󱤂󱦕󱤊
ala-esun 󱤂󱦕󱤋
ala-ijo 󱤂󱦕󱤌
ala-ike 󱤂󱦕󱤍
ala-ilo 󱤂󱦕󱤎
ala-insa 󱤂󱦕󱤏
ala-jaki 󱤂󱦕󱤐
ala-jan 󱤂󱦕󱤑
ala-jelo 󱤂󱦕󱤒
ala-jo 󱤂󱦕󱤓
ala-kala 󱤂󱦕󱤔
ala-kalama 󱤂󱦕󱤕
ala-kama 󱤂󱦕󱤖
ala-kasi 󱤂󱦕󱤗
ala-ken 󱤂󱦕󱤘
ala-kepeken 󱤂󱦕󱤙
ala-kili 󱤂󱦕󱤚
ala-kin 󱤂󱦕󱥹
ala-kiwen 󱤂󱦕󱤛
ala-ko 󱤂󱦕󱤜
ala-kon 󱤂󱦕󱤝
ala-kule 󱤂󱦕󱤞
ala-kulupu 󱤂󱦕󱤟
ala-kute 󱤂󱦕󱤠
ala-la 󱤂󱦕󱤡
ala-lape 󱤂󱦕󱤢
ala-laso 󱤂󱦕󱤣
ala-lawa 󱤂󱦕󱤤
ala-len 󱤂󱦕󱤥
ala-lete 󱤂󱦕󱤦
ala-li 󱤂󱦕󱤧
ala-lili 󱤂󱦕󱤨
ala-linja 󱤂󱦕󱤩
ala-lipu 󱤂󱦕󱤪
ala-loje 󱤂󱦕󱤫
ala-lon 󱤂󱦕󱤬
ala-luka 󱤂󱦕󱤭
ala-lukin 󱤂󱦕󱤮
ala-lupa 󱤂󱦕󱤯
ala-ma 󱤂󱦕󱤰
ala-mama 󱤂󱦕󱤱
ala-mani 󱤂󱦕󱤲
ala-meli 󱤂󱦕󱤳
ala-mi 󱤂󱦕󱤴
ala-mije 󱤂󱦕󱤵
ala-moku 󱤂󱦕󱤶
ala-moli 󱤂󱦕󱤷
ala-monsi 󱤂󱦕󱤸
ala-monsuta 󱤂󱦕󱥽
ala-mu 󱤂󱦕󱤹
ala-mun 󱤂󱦕󱤺
ala-musi 󱤂󱦕󱤻
ala-mute 󱤂󱦕󱤼
ala-nanpa 󱤂󱦕󱤽
ala-nasa 󱤂󱦕󱤾
ala-nasin 󱤂󱦕󱤿
ala-nena 󱤂󱦕󱥀
ala-ni 󱤂󱦕󱥁
ala-nimi 󱤂󱦕󱥂
ala-noka 󱤂󱦕󱥃
ala-o 󱤂󱦕󱥄
ala-olin 󱤂󱦕󱥅
ala-ona 󱤂󱦕󱥆
ala-open 󱤂󱦕󱥇
ala-pakala 󱤂󱦕󱥈
ala-pali 󱤂󱦕󱥉
ala-palisa 󱤂󱦕󱥊
ala-pan 󱤂󱦕󱥋
ala-pana 󱤂󱦕󱥌
ala-pi 󱤂󱦕󱥍
ala-pilin 󱤂󱦕󱥎
ala-pimeja 󱤂󱦕󱥏
ala-pini 󱤂󱦕󱥐
ala-pipi 󱤂󱦕󱥑
ala-poka 󱤂󱦕󱥒
ala-poki 󱤂󱦕󱥓
ala-pona 󱤂󱦕󱥔
ala-pu 󱤂󱦕󱥕
ala-sama 󱤂󱦕󱥖
ala-seli 󱤂󱦕󱥗
ala-selo 󱤂󱦕󱥘
ala-seme 󱤂󱦕󱥙
ala-sewi 󱤂󱦕󱥚
ala-sijelo 󱤂󱦕󱥛
ala-sike 󱤂󱦕󱥜
ala-sin 󱤂󱦕󱥝
ala-sina 󱤂󱦕󱥞
ala-sinpin 󱤂󱦕󱥟
ala-sitelen 󱤂󱦕󱥠
ala-sona 󱤂󱦕󱥡
ala-soweli 󱤂󱦕󱥢
ala-suli 󱤂󱦕󱥣
ala-suno 󱤂󱦕󱥤
ala-supa 󱤂󱦕󱥥
ala-suwi 󱤂󱦕󱥦
ala-tan 󱤂󱦕󱥧
ala-taso 󱤂󱦕󱥨
ala-tawa 󱤂󱦕󱥩
ala-telo 󱤂󱦕󱥪
ala-tenpo 󱤂󱦕󱥫
ala-toki 󱤂󱦕󱥬
ala-tomo 󱤂󱦕󱥭
ala-tonsi 󱤂󱦕󱥾
ala-tu 󱤂󱦕󱥮
ala-unpa 󱤂󱦕󱥯
ala-uta 󱤂󱦕󱥰
ala-utala 󱤂󱦕󱥱
ala-walo 󱤂󱦕󱥲
ala-wan 󱤂󱦕󱥳
ala-waso 󱤂󱦕󱥴
ala-wawa 󱤂󱦕󱥵
ala-weka 󱤂󱦕󱥶
ala-wile 󱤂󱦕󱥷
ala-kijetesantakalu 󱤂󱦕󱦀
ala-kipisi 󱤂󱦕󱥻
ala-ku 󱤂󱦕󱦈
ala-leko 󱤂󱦕󱥼
ala-misikeke 󱤂󱦕󱦇
ala-n 󱤂󱦕󱦆
ala-namako 󱤂󱦕󱥸
ala-soko 󱤂󱦕󱦁
ala-epiku 󱤂󱦕󱦃
ala-jasima 󱤂󱦕󱥿
ala-lanpan 󱤂󱦕󱦅
ala-linluwi 󱤂󱦕󱦤
ala-majuna 󱤂󱦕󱦢
ala-meso 󱤂󱦕󱦂
ala-oko 󱤂󱦕󱥺
ala-su 󱤂󱦕󱦦
ala-a 󱤂󱦖󱤀
ala-akesi 󱤂󱦖󱤁
ala-ala 󱤂󱦖󱤂
ala-alasa 󱤂󱦖󱤃
ala-ale 󱤂󱦖󱤄
ala-anpa 󱤂󱦖󱤅
ala-ante 󱤂󱦖󱤆
ala-anu 󱤂󱦖󱤇
ala-awen 󱤂󱦖󱤈
ala-e 󱤂󱦖󱤉
ala-en 󱤂󱦖󱤊
ala-esun 󱤂󱦖󱤋
ala-ijo 󱤂󱦖󱤌
ala-ike 󱤂󱦖󱤍
ala-ilo 󱤂󱦖󱤎
ala-insa 󱤂󱦖󱤏
ala-jaki 󱤂󱦖󱤐
ala-jan 󱤂󱦖󱤑
ala-jelo 󱤂󱦖󱤒
ala-jo 󱤂󱦖󱤓
ala-kala 󱤂󱦖󱤔
ala-kalama 󱤂󱦖󱤕
ala-kama 󱤂󱦖󱤖
ala-kasi 󱤂󱦖󱤗
ala-ken 󱤂󱦖󱤘
ala-kepeken 󱤂󱦖󱤙
ala-kili 󱤂󱦖󱤚
ala-kin 󱤂󱦖󱥹
ala-kiwen 󱤂󱦖󱤛
ala-ko 󱤂󱦖󱤜
ala-kon 󱤂󱦖󱤝
ala-kule 󱤂󱦖󱤞
ala-kulupu 󱤂󱦖󱤟
ala-kute 󱤂󱦖󱤠
ala-la 󱤂󱦖󱤡
ala-lape 󱤂󱦖󱤢
ala-laso 󱤂󱦖󱤣
ala-lawa 󱤂󱦖󱤤
ala-len 󱤂󱦖󱤥
ala-lete 󱤂󱦖󱤦
ala-li 󱤂󱦖󱤧
ala-lili 󱤂󱦖󱤨
ala-linja 󱤂󱦖󱤩
ala-lipu 󱤂󱦖󱤪
ala-loje 󱤂󱦖󱤫
ala-lon 󱤂󱦖󱤬
ala-luka 󱤂󱦖󱤭
ala-lukin 󱤂󱦖󱤮
ala-lupa 󱤂󱦖󱤯
ala-ma 󱤂󱦖󱤰
ala-mama 󱤂󱦖󱤱
ala-mani 󱤂󱦖󱤲
ala-meli 󱤂󱦖󱤳
ala-mi 󱤂󱦖󱤴
ala-mije 󱤂󱦖󱤵
ala-moku 󱤂󱦖󱤶
ala-moli 󱤂󱦖󱤷
ala-monsi 󱤂󱦖󱤸
ala-monsuta 󱤂󱦖󱥽
ala-mu 󱤂󱦖󱤹
ala-mun 󱤂󱦖󱤺
ala-musi 󱤂󱦖󱤻
ala-mute 󱤂󱦖󱤼
ala-nanpa 󱤂󱦖󱤽
ala-nasa 󱤂󱦖󱤾
ala-nasin 󱤂󱦖󱤿
ala-nena 󱤂󱦖󱥀
ala-ni 󱤂󱦖󱥁
ala-nimi 󱤂󱦖󱥂
ala-noka 󱤂󱦖󱥃
ala-o 󱤂󱦖󱥄
ala-olin 󱤂󱦖󱥅
ala-ona 󱤂󱦖󱥆
ala-open 󱤂󱦖󱥇
ala-pakala 󱤂󱦖󱥈
ala-pali 󱤂󱦖󱥉
ala-palisa 󱤂󱦖󱥊
ala-pan 󱤂󱦖󱥋
ala-pana 󱤂󱦖󱥌
ala-pi 󱤂󱦖󱥍
ala-pilin 󱤂󱦖󱥎
ala-pimeja 󱤂󱦖󱥏
ala-pini 󱤂󱦖󱥐
ala-pipi 󱤂󱦖󱥑
ala-poka 󱤂󱦖󱥒
ala-poki 󱤂󱦖󱥓
ala-pona 󱤂󱦖󱥔
ala-pu 󱤂󱦖󱥕
ala-sama 󱤂󱦖󱥖
ala-seli 󱤂󱦖󱥗
ala-selo 󱤂󱦖󱥘
ala-seme 󱤂󱦖󱥙
ala-sewi 󱤂󱦖󱥚
ala-sijelo 󱤂󱦖󱥛
ala-sike 󱤂󱦖󱥜
ala-sin 󱤂󱦖󱥝
ala-sina 󱤂󱦖󱥞
ala-sinpin 󱤂󱦖󱥟
ala-sitelen 󱤂󱦖󱥠
ala-sona 󱤂󱦖󱥡
ala-soweli 󱤂󱦖󱥢
ala-suli 󱤂󱦖󱥣
ala-suno 󱤂󱦖󱥤
ala-supa 󱤂󱦖󱥥
ala-suwi 󱤂󱦖󱥦
ala-tan 󱤂󱦖󱥧
ala-taso 󱤂󱦖󱥨
ala-tawa 󱤂󱦖󱥩
ala-telo 󱤂󱦖󱥪
ala-tenpo 󱤂󱦖󱥫
ala-toki 󱤂󱦖󱥬
ala-tomo 󱤂󱦖󱥭
ala-tonsi 󱤂󱦖󱥾
ala-tu 󱤂󱦖󱥮
ala-unpa 󱤂󱦖󱥯
ala-uta 󱤂󱦖󱥰
ala-utala 󱤂󱦖󱥱
ala-walo 󱤂󱦖󱥲
ala-wan 󱤂󱦖󱥳
ala-waso 󱤂󱦖󱥴
ala-wawa 󱤂󱦖󱥵
ala-weka 󱤂󱦖󱥶
ala-wile 󱤂󱦖󱥷
ala-kijetesantakalu 󱤂󱦖󱦀
ala-kipisi 󱤂󱦖󱥻
ala-ku 󱤂󱦖󱦈
ala-leko 󱤂󱦖󱥼
ala-misikeke 󱤂󱦖󱦇
ala-n 󱤂󱦖󱦆
ala-namako 󱤂󱦖󱥸
ala-soko 󱤂󱦖󱦁
ala-epiku 󱤂󱦖󱦃
ala-jasima 󱤂󱦖󱥿
ala-lanpan 󱤂󱦖󱦅
ala-linluwi 󱤂󱦖󱦤
ala-majuna 󱤂󱦖󱦢
ala-meso 󱤂󱦖󱦂
ala-oko 󱤂󱦖󱥺
ala-su 󱤂󱦖󱦦
alasa 󱤃
alasa-a 󱤃‍󱤀
alasa-akesi 󱤃‍󱤁
alasa-ala 󱤃‍󱤂
alasa-alasa 󱤃‍󱤃
alasa-ale 󱤃‍󱤄
alasa-anpa 󱤃‍󱤅
alasa-ante 󱤃‍󱤆
alasa-anu 󱤃‍󱤇
alasa-awen 󱤃‍󱤈
alasa-e 󱤃‍󱤉
alasa-en 󱤃‍󱤊
alasa-esun 󱤃‍󱤋
alasa-ijo 󱤃‍󱤌
alasa-ike 󱤃‍󱤍
alasa-ilo 󱤃‍󱤎
alasa-insa 󱤃‍󱤏
alasa-jaki 󱤃‍󱤐
alasa-jan 󱤃‍󱤑
alasa-jelo 󱤃‍󱤒
alasa-jo 󱤃‍󱤓
alasa-kala 󱤃‍󱤔
alasa-kalama 󱤃‍󱤕
alasa-kama 󱤃‍󱤖
alasa-kasi 󱤃‍󱤗
alasa-ken 󱤃‍󱤘
alasa-kepeken 󱤃‍󱤙
alasa-kili 󱤃‍󱤚
alasa-kin 󱤃‍󱥹
alasa-kiwen 󱤃‍󱤛
alasa-ko 󱤃‍󱤜
alasa-kon 󱤃‍󱤝
alasa-kule 󱤃‍󱤞
alasa-kulupu 󱤃‍󱤟
alasa-kute 󱤃‍󱤠
alasa-la 󱤃‍󱤡
alasa-lape 󱤃‍󱤢
alasa-laso 󱤃‍󱤣
alasa-lawa 󱤃‍󱤤
alasa-len 󱤃‍󱤥
alasa-lete 󱤃‍󱤦
alasa-li 󱤃‍󱤧
alasa-lili 󱤃‍󱤨
alasa-linja 󱤃‍󱤩
alasa-lipu 󱤃‍󱤪
alasa-loje 󱤃‍󱤫
alasa-lon 󱤃‍󱤬
alasa-luka 󱤃‍󱤭
alasa-lukin 󱤃‍󱤮
alasa-lupa 󱤃‍󱤯
alasa-ma 󱤃‍󱤰
alasa-mama 󱤃‍󱤱
alasa-mani 󱤃‍󱤲
alasa-meli 󱤃‍󱤳
alasa-mi 󱤃‍󱤴
alasa-mije 󱤃‍󱤵
alasa-moku 󱤃‍󱤶
alasa-moli 󱤃‍󱤷
alasa-monsi 󱤃‍󱤸
alasa-monsuta 󱤃‍󱥽
alasa-mu 󱤃‍󱤹
alasa-mun 󱤃‍󱤺
alasa-musi 󱤃‍󱤻
alasa-mute 󱤃‍󱤼
alasa-nanpa 󱤃‍󱤽
alasa-nasa 󱤃‍󱤾
alasa-nasin 󱤃‍󱤿
alasa-nena 󱤃‍󱥀
alasa-ni 󱤃‍󱥁
alasa-nimi 󱤃‍󱥂
alasa-noka 󱤃‍󱥃
alasa-o 󱤃‍󱥄
alasa-olin 󱤃‍󱥅
alasa-ona 󱤃‍󱥆
alasa-open 󱤃‍󱥇
alasa-pakala 󱤃‍󱥈
alasa-pali 󱤃‍󱥉
alasa-palisa 󱤃‍󱥊
alasa-pan 󱤃‍󱥋
alasa-pana 󱤃‍󱥌
alasa-pi 󱤃‍󱥍
alasa-pilin 󱤃‍󱥎
alasa-pimeja 󱤃‍󱥏
alasa-pini 󱤃‍󱥐
alasa-pipi 󱤃‍󱥑
alasa-poka 󱤃‍󱥒
alasa-poki 󱤃‍󱥓
alasa-pona 󱤃‍󱥔
alasa-pu 󱤃‍󱥕
alasa-sama 󱤃‍󱥖
alasa-seli 󱤃‍󱥗
alasa-selo 󱤃‍󱥘
alasa-seme 󱤃‍󱥙
alasa-sewi 󱤃‍󱥚
alasa-sijelo 󱤃‍󱥛
alasa-sike 󱤃‍󱥜
alasa-sin 󱤃‍󱥝
alasa-sina 󱤃‍󱥞
alasa-sinpin 󱤃‍󱥟
alasa-sitelen 󱤃‍󱥠
alasa-sona 󱤃‍󱥡
alasa-soweli 󱤃‍󱥢
alasa-suli 󱤃‍󱥣
alasa-suno 󱤃‍󱥤
alasa-supa 󱤃‍󱥥
alasa-suwi 󱤃‍󱥦
alasa-tan 󱤃‍󱥧
alasa-taso 󱤃‍󱥨
alasa-tawa 󱤃‍󱥩
alasa-telo 󱤃‍󱥪
alasa-tenpo 󱤃‍󱥫
alasa-toki 󱤃‍󱥬
alasa-tomo 󱤃‍󱥭
alasa-tonsi 󱤃‍󱥾
alasa-tu 󱤃‍󱥮
alasa-unpa 󱤃‍󱥯
alasa-uta 󱤃‍󱥰
alasa-utala 󱤃‍󱥱
alasa-walo 󱤃‍󱥲
alasa-wan 󱤃‍󱥳
alasa-waso 󱤃‍󱥴
alasa-wawa 󱤃‍󱥵
alasa-weka 󱤃‍󱥶
alasa-wile 󱤃‍󱥷
alasa-kijetesantakalu 󱤃‍󱦀
alasa-kipisi 󱤃‍󱥻
alasa-ku 󱤃‍󱦈
alasa-leko 󱤃‍󱥼
alasa-misikeke 󱤃‍󱦇
alasa-n 󱤃‍󱦆
alasa-namako 󱤃‍󱥸
alasa-soko 󱤃‍󱦁
alasa-epiku 󱤃‍󱦃
alasa-jasima 󱤃‍󱥿
alasa-lanpan 󱤃‍󱦅
alasa-linluwi 󱤃‍󱦤
alasa-majuna 󱤃‍󱦢
alasa-meso 󱤃‍󱦂
alasa-oko 󱤃‍󱥺
alasa-su 󱤃‍󱦦
alasa-a 󱤃󱦕󱤀
alasa-akesi 󱤃󱦕󱤁
alasa-ala 󱤃󱦕󱤂
alasa-alasa 󱤃󱦕󱤃
alasa-ale 󱤃󱦕󱤄
alasa-anpa 󱤃󱦕󱤅
alasa-ante 󱤃󱦕󱤆
alasa-anu 󱤃󱦕󱤇
alasa-awen 󱤃󱦕󱤈
alasa-e 󱤃󱦕󱤉
alasa-en 󱤃󱦕󱤊
alasa-esun 󱤃󱦕󱤋
alasa-ijo 󱤃󱦕󱤌
alasa-ike 󱤃󱦕󱤍
alasa-ilo 󱤃󱦕󱤎
alasa-insa 󱤃󱦕󱤏
alasa-jaki 󱤃󱦕󱤐
alasa-jan 󱤃󱦕󱤑
alasa-jelo 󱤃󱦕󱤒
alasa-jo 󱤃󱦕󱤓
alasa-kala 󱤃󱦕󱤔
alasa-kalama 󱤃󱦕󱤕
alasa-kama 󱤃󱦕󱤖
